date,follower
2026-02-11,1578730
2026-02-10,1571097
2026-02-09,1563505
2026-02-08,1558216
2026-02-07,1554539
2026-02-06,1551111
2026-02-05,1547912
2026-02-04,1544144
2026-02-03,1540408
2026-02-02,1537138
2026-02-01,1534125
2026-01-31,1531119
2026-01-30,1527741
2026-01-29,1524615
2026-01-28,1521837
2026-01-27,1519099
2026-01-26,1516883
2026-01-25,1514545
2026-01-24,1511577
2026-01-23,1508547
2026-01-22,1505612
2026-01-21,1502314
2026-01-20,1499805
2026-01-19,1496858
2026-01-18,1494402
2026-01-17,1490011
2026-01-16,1482904
2026-01-15,1481195
2026-01-14,1479532
2026-01-13,1477778
2026-01-12,1475735
2026-01-11,1473423
2026-01-10,1469774
2026-01-09,1463913
2026-01-08,1461662
2026-01-07,1459887
2026-01-06,1457517
2026-01-05,1456025
2026-01-04,1454638
2026-01-03,1454026
2026-01-02,1453419
2026-01-01,1452192
2025-12-31,1450575
2025-12-30,1449388
2025-12-29,1448372
2025-12-28,1447493
2025-12-27,1446348
2025-12-26,1445076
2025-12-25,1444152
2025-12-24,1443492
2025-12-23,1442779
2025-12-22,1442306
2025-12-21,1441645
2025-12-20,1440556
2025-12-19,1439363
2025-12-18,1439117
2025-12-17,1438845
2025-12-16,1438585
2025-12-15,1438418
2025-12-14,1438509
2025-12-13,1438931
2025-12-12,1439441
2025-12-11,1409626
2025-12-10,1409146
2025-12-09,1408418
2025-12-08,1407419
2025-12-07,1406572
2025-12-06,1404991
2025-12-05,1403943
2025-12-04,1402922
2025-12-03,1402592
2025-12-02,1402248
2025-12-01,1401885
2025-11-30,1401478
2025-11-29,1401252
2025-11-28,1400701
2025-11-27,1400266
2025-11-26,1399973
2025-11-25,1399671
2025-11-24,1399315
2025-11-23,1398907
2025-11-22,1398230
2025-11-21,1397534
2025-11-20,1397104
2025-11-19,1396614
2025-11-18,1396269
2025-11-17,1395815
2025-11-16,1395443
2025-11-15,1394749
2025-11-14,1393889
2025-11-13,1393310
2025-11-12,1393023
2025-11-11,1392824
2025-11-10,1392629
2025-11-09,1392390
2025-11-08,1391988
2025-11-07,1391468
2025-11-06,1390887
2025-11-05,1390259
2025-11-04,1390112
2025-11-03,1389970
2025-11-02,1389726
2025-11-01,1389405
2025-10-31,1389142
2025-10-30,1388944
2025-10-29,1388744
2025-10-28,1388506
2025-10-27,1388291
2025-10-26,1388058
2025-10-25,1387659
2025-10-24,1387340
2025-10-23,1387082
2025-10-22,1386885
2025-10-21,1386643
2025-10-20,1386366
2025-10-19,1386190
2025-10-18,1385791
2025-10-17,1385354
2025-10-16,1385005
2025-10-15,1384668
2025-10-14,1384293
